Job Title,Hourly/Fixed,Budget,Level,Skills
Python Developer Needed for RCON Bot Bug Fixes and Feature Additions,Hourly: $15.00 - $35.00,N/A,Intermediate,"AI Development, Discord Bot Development, Software Debugging, Chatbot, Python, API, Node.js"
"Postgres Expert to help with recurrent events, database structure and RRULE",Fixed price,"Est. budget:
$80.00",Expert,"Python, Database Design, PostgreSQL, Node.js"
AWS Developer Needed for REST API Integration with OpenAI,Hourly: $20.00 - $50.00,N/A,Intermediate,"Python, API, RESTful API, Java"
[$250] System message is shown in English #54397 - Expensify,Fixed price,"Est. budget:
$250.00",Intermediate,
Full Stack Wizard Wanted: Help Us Launch This Thing! 🚀,Fixed price,"Est. budget:
$3,000.00",Expert,"TypeScript, SQL, Node.js, React, AI-Generated Code, API Integration, ChatGPT API Integration, +3"
Looking for a Developer to Build an Instagram Bot for my Android Device,Fixed price,"Est. budget:
$500.00",Intermediate,"Python, API, Android, JavaScript, Java"
Developer Needed to Create a BIM/CAD Integration Tool with Code Compliance Features,Hourly: $15.00 - $35.00,N/A,Intermediate,"JavaScript, C#, API, UI/UX Prototyping, Building Information Modeling"
Website Development for Marketplace,Hourly,N/A,Intermediate,"Web Development, Web Design, WordPress, PHP, JavaScript"
Build Scalable AI-Assisted System for Board Video Transcription and Management,Fixed price,"Est. budget:
$10,000.00",Expert,"AI App Development, Database Development, Web Application, Artificial Intelligence, Auth0"
App Development for Medical Scriber-like Application,Fixed price,"Est. budget:
$200.00",Intermediate,"Mobile App Development, Android App Development, Android, Smartphone, iOS"
Stripe Integration for SaaS Website,Hourly,N/A,Intermediate,"Stripe, PHP, API, JavaScript, API Integration"
React/Next.js & Node.js Developer for CRM Chat Module Integration,Fixed price,"Est. budget:
$200.00",Expert,"API Development, Node.js, JavaScript, React, API Integration, CRM Software"
Expense application for real estate,Fixed price,"Est. budget:
$2,000.00",Intermediate,"Web Application Development, Real Estate"
CRUD Interface Development for MySQL Database,Hourly: $15.00 - $25.00,N/A,Intermediate,"MySQL, MySQL Programming, PHP, Microsoft SQL Server, Database Design"
Full Stack Software Engineers Needed for Healthcare Project,Hourly,N/A,Intermediate,"Web Development, JavaScript, Python, Amazon Web Services, React"
Wordpress/Woo Commerce Developer,Hourly: $12.00 - $25.00,N/A,Intermediate,"Web Development, WooCommerce, WordPress, CSS, Ecommerce Website"
Creating a local version of TCGPlayer,Hourly,N/A,Intermediate,"Web Development, CSS, HTML, JavaScript, Payment Gateway, iOS, Android, English, +2"
Landingpage mobile Optimization,Hourly,N/A,Intermediate,"WordPress Development, PHP, WordPress, WordPress e-Commerce, WooCommerce, Elementor, Figma, +8"
Wordpress and OJS websites,Fixed price,"Est. budget:
$1,000.00",Intermediate,WordPress
"Help with responsive behaviour (phone) Ninja tables. (ninja table pros only, please.",Hourly: $8.00 - $25.00,N/A,Intermediate,"WordPress, CSS"
UI/UX Designer for Cross-Compatible IoT App (Web and Mobile),Hourly,N/A,Expert,"Figma, User Interface Design, Mobile App Design, Responsive Design, Web Design, User Experience Design, +3"
Full stack development,Hourly: $50.00 - $70.00,N/A,Expert,"Full-Stack Development, Web Development, Next.js"
AI-Driven Project Management App Developer,Hourly: $15.00 - $45.00,N/A,Expert,"API Development, API Integration, Python, Web Application, Bubble.io, Data Visualization Framework, +1"
Appsflyer Integration Specialist Needed,Hourly: $25.00 - $47.00,N/A,Expert,"Android, WordPress, iOS, Smartphone, Java"
PHP Laravel Developer with AI Skills,Hourly: $15.00 - $35.00,N/A,Intermediate,"AI Agent Development, AI App Development, AI Development, AI Model Integration, PHP, API, Laravel, +3"
AI-Powered Interactive Voice Response (IVR) System Development,Hourly: $25.00 - $47.00,N/A,Expert,"Python, API, JavaScript, Artificial Intelligence, HTML5"
Wordpress custom timed coupon for demo sign ups,Fixed price,"Est. budget:
$200.00",Intermediate,"WordPress, Mailchimp"
Deborah Barrett Dream Builder Coach and Life Mastery Consultant,Hourly: $14.00 - $28.00,N/A,Intermediate,"HTML, CSS, JavaScript, PHP, WordPress, Squarespace, Shopify, WordPress Theme, +7"
Experienced Developer Needed for Innovative Project,Fixed price,"Est. budget:
$999.00",Intermediate,"Web Development, JavaScript, Android, iOS, Web Design"
"Experienced Full-Stack Developer with Vue.js, Firebase, MySQL, and Google Services Expertise",Hourly: $15.00 - $55.00,N/A,Intermediate,"Vue.js, MySQL, Google Cloud Platform, Firebase"
Full-Stack Web Developer (SEO-Focused),Fixed price,"Est. budget:
$700.00",Expert,"Full-Stack Development, React, Node.js, CSS 3, JavaScript, Search Engine Optimization, +4"
Squarespace Web Designer Needed for Website Update,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Squarespace, Web Design, Graphic Design, Visual Communication"
Studio for Language Arts,Hourly: $14.00 - $28.00,N/A,Intermediate,"WordPress Development, WordPress Theme, WordPress Plugin, WordPress, Website Customization, +10"
RabbitMQ Expert Needed,Hourly: $5.00 - $60.00,N/A,Expert,"MongoDB, API, Node.js, Linux System Administration"
Python Developer - Open Banking Solutions,Hourly,N/A,Intermediate,"React, RESTful API, Kubernetes, PostgreSQL, Python, JavaScript, FastAPI, CI/CD"
Wordpress & Elementor Developer,Fixed price,"Est. budget:
$50.00",Expert,"WordPress, Elementor, CSS, PHP, JavaScript, HTML"
HTML/CSS Developer for Creative Design Mockups,Hourly: $15.00 - $20.00,N/A,Intermediate,"CSS, HTML, Web Design, HTML5, CSS 3"
App Designer/Developer in Bubble or similar builder,Hourly: $15.00 - $30.00,N/A,Intermediate,"Prototyping, Bubble.io, App Design"
Calendly Integration with VAPI via Make for Automated Call Confirmation,Fixed price,"Est. budget:
$50.00",Intermediate,"Zapier, API, JavaScript, Python, PHP"
Experienced RoR Developer Needed,Hourly: $60.00 - $80.00,N/A,Expert,"JavaScript, HTML, CSS, HTML5, jQuery"
Video Uploading and Posting Feature Development for Website,Fixed price,"Est. budget:
$700.00",Intermediate,"Web Development, WordPress, PHP, JavaScript, HTML, Web Design, API"
Small Cordova to Capacitor app release for Android,Fixed price,"Est. budget:
$400.00",Intermediate,"Android, Apache Cordova"
Generative AI Healthcare Chatbot Developer (RAG Application Specialist),Fixed price,"Est. budget:
$10.00",Intermediate,"Chatbot Development, Artificial Intelligence, Machine Learning, Data Science, Natural Language Processing, Python"
Weflow Website tweaks + new pages,Hourly,N/A,Intermediate,"No-Code Development, Web Development, Low-Code Development, Landing Page, Web Design, +10"
Facebook MarketPlace Posting,Hourly: $6.00 - $20.00,N/A,Intermediate,"Facebook Development, Facebook, Facebook Advertising"
Experienced VR developer needed for apple vision pro project,Fixed price,"Est. budget:
$500.00",Expert,"Virtual Reality, Swift, iOS"
Expert UI Designer Needed - Figma Specialist,Fixed price,"Est. budget:
$345.00",Intermediate,"Figma, Web Design, User Interface Design, Graphic Design, HTML"
Looking for blockchain experts for our business,Hourly: $40.00 - $60.00,N/A,Intermediate,"Web Development, HTML, GitHub, Blockchain"
Brand/Website Design and Development,Hourly,N/A,Intermediate,"Web Development, Web Design, Brand Identity"
Ground Station Software Development. Python. Windows 11,Fixed price,"Est. budget:
$1,000.00",Intermediate,"Windows App Development, Microsoft Windows, PyQt, Python, Desktop Application, API"
Funnel Web Developer for Funnelish Project – Build a Funnel and advertorial page from Scratch,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, Web Design, Landing Page, CSS"
Shopify Recharge Subscription Services Expert Needed,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, Ecommerce Website Development, Shopify, Shopify Apps, Shopify Templates"
"""Simple Business Website Development for a IT company| Front-End Design with Blog & Contact Form""",Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, Website Redesign, WordPress, Web Design, Website, Landing Page, Graphic Design"
Website Development for Real-Time Trading Signals,Hourly: $5.00 - $15.00,N/A,Intermediate,"Web Development, JavaScript, Python, API, PHP"
Owner,Hourly,N/A,Intermediate,"iOS Development, AngularJS, ASP.NET, PHP, C#, React, ASP.NET MVC, WordPress, +6"
Electronics Engineer required for Digital Chessboard Development,Hourly: $10.00 - $20.00,N/A,Intermediate,"Web Development, WordPress, Web Design, HTML, Lead Generation"
Full stack dev,Fixed price,"Est. budget:
$30.00",Intermediate,"Web Development, JavaScript, Node.js, CSS"
SAP FI Team Member,Hourly: $45.00 - $70.00,N/A,Intermediate,"SAP ERP, SAP Analysis, SAP FI"
Mobile App Developer Needed,Hourly,N/A,Intermediate,"AI Mobile App Development, Data Visualization, Branding Template, Sales Presentation, Smartphone, +5"
User Experience Designer for Healthcare Progressive Web App,Fixed price,"Est. budget:
$1,500.00",Intermediate,"Web Development, User Flow, Web Design, Mockup, Wireframing"
UI Designer Needed for Engaging User Interfaces,Hourly: $35.00 - $90.00,N/A,Entry Level,"GUI Design, UX & UI, Graphic Design, Web Design, Adobe Photoshop, Adobe Illustrator, User Interface Design"
Website Optimization Expert for Online Flower Seed Business,Fixed price,"Est. budget:
$500.00",Intermediate,"Web Development, Search Engine Optimization, SEO Keyword Research, WordPress, Web Design"
"Building a simple, secure, ecommerce affiliate website for multiple projects, using affiliate links",Hourly,N/A,Intermediate,"Web Development, Wix, BigCommerce, ClickFunnels, PayPal, Stripe, Affiliate Marketing, +3"
WordPress Website Maintenance and Updates Specialist,Hourly: $25.00 - $50.00,N/A,Intermediate,"Web Development, WordPress, Web Design, PHP, WooCommerce"
Shopify UX/UI Designer,Hourly: $5.00 - $10.00,N/A,Intermediate,"Shopify Development, Mockup, Web Design, User Flow, User Experience Design, Shopify, Ecommerce, +1"
Wordpress Website Design/development and Newsletter mailchimp,Hourly: $20.00 - $40.00,N/A,Expert,"WordPress, Web Design, Mailchimp"
Shopify Developer Needed for Custom Store Development,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, Shopify, Shopify Templates, Web Design, HTML"
Full Stack Developer for Flutter-Based Tennis Stats App,Hourly: $15.00 - $25.00,N/A,Intermediate,"Python, Flutter, Firebase"
Woocommerce migration to Shopify,Hourly: $10.00 - $40.00,N/A,Expert,"WooCommerce, Shopify"
Expert Needed for Migrating AI Chatbot from Make to Botpress,Hourly: $30.00 - $60.00,N/A,Expert,"Chatbot Development, Bot Development, Machine Learning, Natural Language Processing, Artificial Intelligence, +5"
App Store Approval Specialist Needed,Fixed price,"Est. budget:
$50.00",Intermediate,"AI Mobile App Development, Mobile App Development Consultation, Mobile App Development, iOS Development, +4"
Shopify Website,Fixed price,"Est. budget:
$75.00",Intermediate,"Web Development, Ecommerce Website Development, Shopify, Web Design, Shopify Templates, +2"
Website Developer Needed for Business Teamspace Upgrade,Hourly,N/A,Intermediate,"Web Development, WordPress, Web Design, PHP, HTML"
Reverse Engineering of A Software/Webapp,Fixed price,"Est. budget:
$800.00",Expert,"Reverse Engineering, JavaScript, C++, C#, Java"
WordPress Developer Specializing in Elementor and GoDaddy Hosting,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, Mockup, Website, Website Redesign, Advanced Custom Fields Plugin, +5"
Mcreator procedures,Hourly,N/A,Intermediate,"Minecraft, Russian, Java, Ukrainian"
"Expand Existing Proprietary Communications App for iOS, Android, and Desktop",Fixed price,"Est. budget:
$5,000.00",Intermediate,"Kotlin, Swift, API Integration, Android, iOS, Smartphone, Tablet"
Perfume Website,Hourly,N/A,Intermediate,"Shopify, Shopify SEO, Product Listings, Virtual Assistance, Shopify Theme, Shopify Templates, +9"
Software Engineer(Java/J2EE),Hourly: $10.00 - $12.00,N/A,Expert,"Java, Core Java, Spring Framework, Microservice, J2EE, Shopify, Ecommerce, Splunk"
Full-Stack Laravel Developer Needed,Fixed price,"Est. budget:
$700.00",Intermediate,"Web Development, Laravel, PHP, CSS, API Integration"
Flutter Flow Creators App,Hourly,N/A,Intermediate,"Software Development, Web Development, Firebase, UI Graphics, Supabase, Cloud Computing"
Golang Software Engineer for AI Developer Tooling and Containers,Hourly,N/A,Entry Level,"Golang, Docker, Python, Amazon Web Services, API"
SR&ED Specialist - Information & Technology,Hourly,N/A,Expert,
Experienced Bubble Developer Needed for AI Agent Project,Fixed price,"Est. budget:
$5,000.00",Expert,"Web Development, API, JavaScript, Python, Web Design"
WordPress Contact Form Popup,Fixed price,"Est. budget:
$10.00",Intermediate,"WordPress, PHP, JavaScript, CSS, HTML"
Fast API + React + Supabase + Stripe + GCP + Claude LLM,Fixed price,"Est. budget:
$500.00",Intermediate,"Google Cloud Platform, Microservice, Next.js, PostgreSQL, FastAPI, React, Serverless Computing, +3"
Wikipedia Link Scraping Bot Development,Fixed price,"Est. budget:
$100.00",Intermediate,"Data Scraping, Data Mining, Automation"
E-Commerce Website Development for CBD and Herbal Products,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, Shopify, WooCommerce, WordPress, Web Design"
Add PayPal Checkout Button to Website,Hourly: $12.00 - $27.00,N/A,Intermediate,"PayPal Development, PayPal Integration, HTML, PayPal, Payment Processing"
Website Technical Issues Fix for TIAS Planners.com,Fixed price,"Est. budget:
$70.00",Intermediate,"Web Development, WordPress, PHP, HTML, JavaScript"
Frontend Developer Needed to Implement New Features for React Project with GraphQL API Integration,Fixed price,"Est. budget:
$35.00",Expert,"Web Development, React, JavaScript, GraphQL, CSS, API, TypeScript, Git, HTML5, Web Application"
Shopify Expert Needed for Customization Project,Hourly: $60.00 - $75.00,N/A,Expert,"Web Development, Ecommerce Website Development, Theme Customization, Website Customization, Shopify, +4"
SharePoint Site Development for Small Consulting Group,Fixed price,"Est. budget:
$75.00",Intermediate,"Microsoft SharePoint, Office 365"
Magento 2 Developer Needed for Porto Theme Customization,Hourly: $20.00 - $40.00,N/A,Expert,"Magento, Magento 2, PHP, CSS, JavaScript"
Shopify App & Custom Developer,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, Shopify, Shopify Apps, Shopify Templates"
Full-Stack Developer for NFT Minting Platform Integration,Hourly: $45.00 - $60.00,N/A,Intermediate,"Blockchain Development, Web3, Blockchain Tokenization, Token Standard, Ethereum"
iOS App Development for Speech-Only AI Chatbot,Hourly: $20.00 - $80.00,N/A,Intermediate,"Chatbot Development, iOS Development, OpenAI API, iOS, Artificial Intelligence, Smartphone"
Develop a PNG to SVG converter,Fixed price,"Est. budget:
$300.00",Intermediate,"Web Application, JavaScript, SVG, HTML5"
Etsy Store Optimization and Design Expert Needed,Hourly: $12.00 - $20.00,N/A,Intermediate,"Etsy Listing, Search Engine Optimization, SEO Keyword Research, Shopify, Social Media Marketing"
Developer Needed for Drone-Style Image Generation Tool,Fixed price,"Est. budget:
$500.00",Intermediate,"Python, Graphic Design, Adobe Photoshop, JavaScript, Adobe Illustrator"
Full Stack Engineer,Hourly: $10.00 - $15.00,N/A,Intermediate,"Vercel, Webflow, Figma to Webflow Plugin, Python, JavaScript, API, API Integration, Web Component Design"
Developer needed,Hourly,N/A,Intermediate,Web Application
Build a Dynamic 15-Page Website with Bricks Builder (Custom Animations Required),Hourly: $25.00 - $50.00,N/A,Expert,"AI Development, Web Development, Website Redesign, WordPress Plugin, Website Optimization, JavaScript, +3"
App Reskinning Expert Needed,Fixed price,"Est. budget:
$30.00",Intermediate,"Mobile App Development, iOS, Android, Smartphone, JavaScript"
Redesign,Hourly,N/A,Intermediate,Website Redesign
Experienced Shopify Developer,Hourly,N/A,Expert,"Ecommerce Website Development, Liquid, Shopify, SEO Performance, Shopify Templates, HTML, CSS, +1"
WordPress Website Functionality Update Needed,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, WordPress, Web Design, PHP, WooCommerce"
UI and UX Design and Implementation,Fixed price,"Est. budget:
$500.00",Expert,"Responsive Design, Web Design, User Experience Design, User Interface Design, User Flow, +4"
Custom Calendar Control Development for Dynamics 365 CRM,Hourly,N/A,Intermediate,"Microsoft Dynamics Development, Customer Relationship Management, Microsoft Dynamics CRM, JavaScript, +1"
Intuitive and modern design for our web app,Fixed price,"Est. budget:
$1,000.00",Expert,"Web Development, App Design, Adaptive Web Design, Interaction Design, Website Redesign, Graphic Design, +2"
NFC-Powered Bracelet MVP Development,Hourly: $15.00 - $30.00,N/A,Intermediate,"Product Development, Android, iOS, Embedded System, Product Design"
Full Stack Developer (React+Firebase) for Web-App Admin Portal (Test Project for Long-Term Work),Fixed price,"Est. budget:
$400.00",Intermediate,"Full-Stack Development, Web Development, Java, Firebase Cloud Firestore, Platform Plugin, +5"
Web and Mobile UI Designer,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Design, Mobile App Design, User Interface Design, Wireframing, Adobe Photoshop, Graphic Design, +1"
Web and Mobile Application Developer for Farmer-Buyer Platform,Hourly: $10.00 - $25.00,N/A,Intermediate,"Web Development, API Integration, JavaScript, Android, API, iOS"
"Wordpress (Elementor) CMS Support, Monthly",Fixed price,"Est. budget:
$250.00",Intermediate,"Web Development, Elementor, WordPress"
Shopify Website Maintenance Specialist,Hourly: $25.00 - $45.00,N/A,Intermediate,"Web Development, Ecommerce Website Development, Shopify, Web Design, HTML"
Long Term project developer,Hourly: $3.00 - $10.00,N/A,Intermediate,"Web Development, WordPress, HTML, JavaScript, Cryptocurrency"
AWS Cloud DevOps Engineer for CMS Management,Hourly: $10.00 - $20.00,N/A,Intermediate,"Amazon Web Services, DevOps, Git, Amazon EC2, Docker, Laravel, Next.js"
"Software Engineer, Backend",Hourly: $15.00 - $16.00,N/A,Expert,"Django, MySQL, Python, API, Database"
Website Development for Buyer & Seller Platform,Hourly: $4.00 - $7.00,N/A,Intermediate,"Web Development, Shopify, Web Design, Lead Generation, API Integration"
Flutter App Developer Needed for Exciting Project,Hourly,N/A,Expert,"Mobile App Development, iOS Development, Android App Development, React Native, Android, iOS, +4"
Perl development on Linux and Windows,Hourly,N/A,Expert,"Perl, Linux, SAP Sybase Adaptive Server Enterprise"
SHopify website developer,Fixed price,"Est. budget:
$300.00",Expert,"Web Development, Ecommerce Website Development, Shopify, Web Design, Shopify Templates"
Webflow Website Update: Button Addition & Landing Page Revision,Hourly: $15.00 - $20.00,N/A,Intermediate,"Web Development, Webflow, Web Design, CSS, HTML"
Fork and deploy smart contract,Hourly,N/A,Intermediate,"Blockchain Development, Web3, DeFi, Blockchain, Solidity, Ethereum, Smart Contract, +8"
I want to develop an APP with agency teams,Fixed price,"Est. budget:
$1,000.00",Expert,"Android, iOS, Smartphone, JavaScript"
Shopify App Developer Needed for Product Page Enhancement,Hourly,N/A,Intermediate,"Web Development, Shopify, JavaScript, Web Design, HTML"
Board Game Concept Development,Fixed price,"Est. budget:
$500.00",Entry Level,"Game Development, Game Design, Graphic Design, Concept Artistry, Prototyping"
Wordpress With Woo Commerce,Fixed price,"Est. budget:
$300.00",Intermediate,"Web Development, Ecommerce Website Development, Bug Fix, JavaScript, PayPal, Braintree, +5"
AI Voice Agent Setup in Twilio for Call Management,Fixed price,"Est. budget:
$50.00",Intermediate,"Chatbot Development, Twilio API, VoIP, Phone Communication, Communications"
WordPress elementor expert to fix some issues,Fixed price,"Est. budget:
$8.00",Entry Level,"WordPress Development, WordPress, Elementor, WooCommerce, CSS"
AI agent developer job,Hourly,N/A,Intermediate,"Chatbot Development, AI Agent Development, API Integration, ChatGPT, Chatbot, ChatGPT API Integration, +9"
Go High Level Expert Needed for Survey Development,Fixed price,"Est. budget:
$25.00",Intermediate,"Lead Generation, Sales, WordPress, Communications, Data Entry"
"Slick Slider, FullPage.js & CSS Expert For One Page Website",Hourly,N/A,Expert,"CSS, JavaScript, WordPress, jQuery"
Website Update and Maintenance,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, Wix, WordPress, Web Design, PHP, HTML"
Automated delivery food plates inside a small restaurant,Hourly,N/A,Intermediate,"AI Bot, Robotics"
Design a Professional Landing Page for Cybepro AI,Fixed price,"Est. budget:
$10.00",Intermediate,"Adobe Illustrator, Graphic Design, Adobe Photoshop, Web Design, WordPress"
Adjust Shopify Theme - Samples Provided,Fixed price,"Est. budget:
$50.00",Intermediate,"Web Development, Shopify, Shopify Theme, Shopify Templates, Web Design"
Algo Trading Bot Developer with M4/M5 Expertise,Hourly: $20.00 - $40.00,N/A,Intermediate,"Bot Development, Python, API, Artificial Intelligence, MetaTrader 4, Automation"
Job Posting: Frontend Developer for Procurement Application,Fixed price,"Est. budget:
$100.00",Intermediate,"HTML, JavaScript, CSS, React, API Integration, API, Node.js, MySQL"
Algo Trading Bot Developer with M4/M5 Expertise,Hourly: $20.00 - $40.00,N/A,Intermediate,"Bot Development, Python, API, Artificial Intelligence, MetaTrader 4, Automation"
Job Posting: Frontend Developer for Procurement Application,Fixed price,"Est. budget:
$100.00",Intermediate,"HTML, JavaScript, CSS, React, API Integration, API, Node.js, MySQL"
Migrate Existing Site to Shopify,Hourly,N/A,Expert,"Web Development, Shift4Shop, Shopify, Web Design, HTML"
Job Title: Full Stack Java Developer,Hourly,N/A,Expert,"MySQL, Apache Tomcat, React, Java, JavaScript, API"
Experienced Laravel PHP Developer Needed (No Agencies),Hourly: $4.00 - $15.00,N/A,Intermediate,"Custom PHP, PHP, Laravel, MySQL, UI/UX Prototyping"
Web and Mobile Application Development,Hourly,N/A,Intermediate,"Web Development, JavaScript, PHP, Android, CSS"
React NextJs Front-End Expert,Hourly: $25.00 - $45.00,N/A,Expert,"Three.js, React, Node.js, Next.js, TypeScript, CSS, JavaScript, GreenSock"
Wordpress bug fixer,Hourly: $30.00 - $50.00,N/A,Intermediate,"WordPress, WooCommerce"
charm Health API,Hourly: $30.00 - $60.00,N/A,Expert,"API Development, Web Development, API"
AI/ML Developer Needed for MVP of NLP-Powered Tool,Hourly: $19.00 - $50.00,N/A,Intermediate,"Python, Artificial Intelligence, Machine Learning, Natural Language Processing, TensorFlow"
Custom liquid specialist Product Page Editing and Functionality Testing Expert Needed,Fixed price,"Est. budget:
$40.00",Intermediate,"Web Development, WordPress, Shopify, JavaScript, Web Design"
Website Framework Builder Landing Page,Fixed price,"Est. budget:
$500.00",Expert,"JavaScript, Web Design, HTML, CSS"
React Developer Needed for Feature Enhancements,Hourly,N/A,Intermediate,"JavaScript, React, CSS, HTML, Web Application"
Shopify Webshop Development for Haircare Business,Hourly: $12.00 - $32.00,N/A,Intermediate,"Ecommerce Website Development, Web Development, Shopify, Shopify Templates, Web Design, +1"
Shopify Developer - Landing Page based on Figma,Hourly: $15.00 - $20.00,N/A,Intermediate,"Web Development, Shopify, CSS, HTML, Landing Page, Web Design, JavaScript, HTML5, CSS 3"
Have code for a mobile app and need someone to put it together,Hourly,N/A,Expert,"Android, iOS, Smartphone"
WordPress Editor Needed for Bug Fix,Hourly: $14.00 - $28.00,N/A,Intermediate,"Web Development, WordPress, PHP, JavaScript, CSS"
Complete and Refine C# Application with Enhanced User Experience,Fixed price,"Est. budget:
$16.00",Intermediate,"SQL, C#, Windows Forms, .NET Framework"
WordPress Developer Needed for Page Template and Blog Updates,Hourly,N/A,Intermediate,"Web Development, WordPress, CSS, Web Design, HTML"
Consultation Needed for Azure B2C Integration with PlayFab/Game Center,Fixed price,"Est. budget:
$150.00",Expert,"C#, Microsoft Azure, JavaScript, API"
PHP Laravel + React Developer Needed for Web Application,Hourly: $15.00 - $25.00,N/A,Intermediate,"React, PHP, JavaScript, Web Application, Laravel, CSS"
Website Migration from .co.uk to .com on BigCommerce,Fixed price,"Est. budget:
$200.00",Intermediate,"Web Development, WordPress, Shopify, Web Design, WooCommerce"
"Bolt Ai Full stack help, Bolt Ai expert",Fixed price,"Est. budget:
$100.00",Expert,"Web Development, CMS Development, OpenAI API, Node.js, JavaScript, Kotlin, Django, React, +1"
Development of Memecoin Tracking App,Hourly: $15.00 - $30.00,N/A,Intermediate,"Mobile App Development, iOS, Android, Smartphone, JavaScript"
Industrial AI Solution Architect,Hourly,N/A,Expert,"AI Agent Development, Cloud Computing, SQL, LangChain, Retrieval Augmented Generation, +5"
Shopify Store Development Expert Needed,Hourly: $12.00 - $27.00,N/A,Intermediate,"Web Development, Ecommerce Website Development, Shopify, Shopify Templates, Web Design"
Shopify Website Management and Updates,Hourly,N/A,Intermediate,"Web Development, Shopify, Web Design, HTML, CSS"
Integrate Webflow with Zoho CRM + Zapier + API integration with partner where leads going,Hourly: $35.00 - $70.00,N/A,Expert,"Zapier, API, Zoho CRM, Webflow"
Inventory sourcing VA's,Hourly: $5.00 - $7.00,N/A,Intermediate,
Self hosted Application,Hourly,N/A,Expert,Desktop Application
Shopify Site Development for Growing Business,Hourly: $5.00 - $12.00,N/A,Intermediate,"Web Development, Shopify, Web Design, Shopify Templates, HTML"
Need to Solve Flutter Functions,Fixed price,"Est. budget:
$20.00",Expert,"Mobile App Development, Swift, Objective-C, Flutter, Android, iOS, PHP, Firebase Cloud Firestore"
Looking for a Talented Web Designer to Create an Amazing Animated Website,Fixed price,"Est. budget:
$500.00",Expert,"Web Design, Animation, WordPress, CSS, HTML, JavaScript, Motion Graphics"
Experienced Swift Developer Needed for 2-4 Week Engagement,Hourly: $20.00 - $40.00,N/A,Expert,"iOS Development, Mobile App Development, Swift, iOS, User Authentication"
Website,Fixed price,"Est. budget:
$500.00",Expert,"Web Development, Web Design"
Develop a Predictive Scoring Module for Our Platform,Hourly,N/A,Expert,"Machine Learning, API, Artificial Intelligence"
N8N Expert,Hourly: $15.00 - $35.00,N/A,Intermediate,"JavaScript, JSON, n8n"
WordPress fixes,Fixed price,"Est. budget:
$120.00",Expert,"WordPress, PHP"
"Full Stack Next.js, V0, Cruisor, Claude AI Engineer",Fixed price,"Est. budget:
$4,000.00",Expert,"Vercel, Next.js, TypeScript, PostgreSQL, React, JavaScript, Node.js, Web Application"
"WordPress Developer Needed for Booking Updates, Twilio Integration, and Website Maintenance",Fixed price,"Est. budget:
$1,000.00",Expert,WordPress
Website edit,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, PHP, CSS, HTML"
Blockchain Architect Needed as we prepare for an Initial Coin Offering for a Blockchain Project,Hourly: $25.00 - $50.00,N/A,Expert,"Web Development, Startup Company, API, Database Design"
Appsheet used devices reselling control platform,Hourly: $15.00 - $30.00,N/A,Intermediate,"AppSheet, Google Apps Script"
Telegram Channel and Bot Setup & Moderation,Hourly: $20.00 - $40.00,N/A,Intermediate,"Chatbot Development, Bot Development, Telegram API, Python, Messenger Marketing"
Healthtech platform UI/UX initial design,Hourly,N/A,Intermediate,"Web Development, Web Design, Figma, User Interface Design, Mobile App, Landing Page, +9"
Blockchain and digital currency,Hourly,N/A,Intermediate,"Blockchain Development, JavaScript, React, Golang, Blockchain Architecture, Network Architecture, +8"
Inventory calendar FlutterFlow,Fixed price,"Est. budget:
$150.00",Intermediate,FlutterFlow
Complete Wordpress Website Development,Fixed price,"Est. budget:
$30.00",Expert,"Database Development, Web Development, WordPress, WooCommerce, Web Design"
Smart Merchandising App Developer for E-commerce,Hourly,N/A,Intermediate,"Web Development, API Development, Node.js, API Integration, PostgreSQL, Shopify, +4"
"PHP / Laravel Developer- 40/hrs per week (Full-time) - Europe, Africa, and Ukraine only",Hourly: $15.00 - $30.00,N/A,Intermediate,"PHP, MySQL, Linux, RazorSync, JavaScript"
Wix Website Development for Consulting Agency,Hourly: $15.00 - $30.00,N/A,Intermediate,"Web Development, Wix, Web Design, WordPress, Graphic Design"
Website Development Needed,Fixed price,"Est. budget:
$120.00",Intermediate,"Web Development, WordPress, Web Design, HTML, JavaScript"
Shopify Website Builder for One-Product Store,Fixed price,"Est. budget:
$500.00",Intermediate,"Shopify, Web Design"
Professional Portfolio Website Development,Fixed price,"Est. budget:
$100.00",Intermediate,"Web Development, WordPress, Web Design, HTML, Graphic Design"
Stripe/Cashapp Subscription Fix,Hourly,N/A,Intermediate,Stripe
Need to Integrate API on the site,Hourly: $20.00 - $50.00,N/A,Expert,"Concrete, Concrete5 CMS"
